id;content
items/dio-inscriptions-raw/dio~di102-0001~1;"<sco>
    <!--ID der Inschrift:  sections-269886-->
    <!--ID des Inschriftenteils:  sections-286341-->
    <!--ID der Bearbeitung (Version):  sections-306923-->
    <sec>
      <par>
        <lno>A[nn]o ˑ milleno ˑ tricen‎/[te]no ˑ <lig>oc</lig>ta<lig>de</lig>no ˑ </lno>
        <lin>Festo ˑ p[a‎/schali ˑ est ˑ inchoata ˑ eccl(esi)a]<appalpha id=""footnotes-appalpha-dio-di102-0001-a"">a)</appalpha></lin>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0002~1;"<sco>
<!--ID der Inschrift:  sections-275058--><!--ID des Inschriftenteils:  sections-291731--><!--ID der Bearbeitung (Version):  sections-308150-->
<sec>
<par>
<lno> HIC ˑ IACET ˑ WLˑ‎/FARDVS ˑ LVDERSHAGH[EN] ‎/ [– – –] ‎/ [– – –]V[....]E[– – –] ˑ D[– – –]</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0003~1;"<sco>
    <!--ID der Inschrift:  sections-269887-->
    <!--ID des Inschriftenteils:  sections-286342-->
    <!--ID der Bearbeitung (Version):  sections-306924-->
    <sec>
      <par>
        <lno>J[nce]pcio ˑ turris ˑ san[ct]i ‎/ nicolai ˑ anno ˑ d[(omi)n]i ˑ mil‎/lesimo ˑ ccc ˑ [v]ic[e]si[m]o ix<appalpha id=""footnotes-appalpha-dio-di102-0003-a"">a)</appalpha></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0004~1;"<sco>
    <!--ID der Inschrift:  sections-269307-->
    <!--ID des Inschriftenteils:  sections-285725-->
    <!--ID der Bearbeitung (Version):  sections-302177-->
    <sec>
      <snr>A</snr>
      <par>
        <lno>A(N)NO : D(OMI)NI : M<sup>o</sup> : C<sup>o</sup>C<sup>o</sup>C<sup>o</sup> XXXIII<sup>o</sup><appalpha id=""footnotes-appalpha-dio-di102-0004-a"">a)</appalpha> ˑ O(BIIT) : N‎/TR<appalpha id=""footnotes-appalpha-dio-di102-0004-b"">b)</appalpha> : RUC : ‎/ [..]OOTL<appalpha id=""footnotes-appalpha-dio-di102-0004-c"">c)</appalpha> ˑ</lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-278805-->
    <!--ID des Inschriftenteils:  sections-295619-->
    <!--ID der Bearbeitung (Version):  sections-312174-->
    <sec>
      <snr>B</snr>
      <par>
        <lno>
          <lig>MHM</lig>
        </lno>
      </par>
    </sec>
    <!--ID der Inschrift:  sections-280005-->
    <!--ID des Inschriftenteils:  sections-297031-->
    <!--ID der Bearbeitung (Version):  sections-313659-->
    <sec>
      <snr>C</snr>
      <par>
        <lno> 76</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0005~1;"<sco>
    <!--ID der Inschrift:  sections-269898-->
    <!--ID des Inschriftenteils:  sections-286357-->
    <!--ID der Bearbeitung (Version):  sections-302741-->
    <sec>
      <par>
        <lno>I(ESUS) N(AZARENUS) R(EX) I(UDAEORUM)<appnum id=""footnotes-appnum-dio-di102-0005-2"">2)</appnum></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0006~1;"<sco>
<!--ID der Inschrift:  sections-269825--><!--ID des Inschriftenteils:  sections-286280--><!--ID der Bearbeitung (Version):  sections-302661-->
<sec>
<par>
<lno>ANNO : D(OMI)NI : M : CCC : ‎/ XXXˑVIII : FERIA : SECUNDA : POST : FESTV(M) ‎/ DYONISII : O(BIIT) ˑ GHER‎/WINUS : STORKOWE : <lig>OR</lig>ATE : DEV(M) ˑ P(RO) : A(N)I(M)A : EI(VS)</lno>
</par>
</sec>
</sco>"
items/dio-inscriptions-raw/dio~di102-0007~1;"<sco>
    <!--ID der Inschrift:  sections-269474-->
    <!--ID des Inschriftenteils:  sections-285892-->
    <!--ID der Bearbeitung (Version):  sections-302265-->
    <sec>
      <par>
        <lno>[ann]o ˑ d(omi)ni ˑ M ˑ ccc ˑ l<appalpha id=""footnotes-appalpha-dio-di102-0007-a"">a)</appalpha> ˑ ipso ˑ die ‎/ inuenc(i)o(n)is ˑ s(anc)te ˑ crucis ˑ <lig>ve</lig>[ne]‎/rabilis ˑ pate[r] ˑ [(et)]<appalpha id=""footnotes-appalpha-dio-di102-0007-b"">b)</appalpha> ˑ d(omi)n(u)s ˑ iacob(us) ‎/ pauls<appalpha id=""footnotes-appalpha-dio-di102-0007-c"">c)</appalpha> ˑ roskil[den]sis<appalpha id=""footnotes-appalpha-dio-di102-0007-d"">d)</appalpha> ˑ ecclesie ˑ ep(iscopu)s ‎/ in <lig>ho</lig>nore ˑ [dei] ˑ et ˑ [quatt]vor<appalpha id=""footnotes-appalpha-dio-di102-0007-e"">e)</appalpha> ˑ ev(ange)l(istaru)m ‎/ [g]en[– – –]<appalpha id=""footnotes-appalpha-dio-di102-0007-f"">f)</appalpha> ‎/ [– – –] ‎/ [– – –]</lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0008~1;"<sco>
    <!--ID der Inschrift:  sections-269899-->
    <!--ID des Inschriftenteils:  sections-286358-->
    <!--ID der Bearbeitung (Version):  sections-302742-->
    <sec>
      <par>
        <lno>I(ESUS) N(AZARENUS) R(EX) I(UDAEORUM)<appnum id=""footnotes-appnum-dio-di102-0008-2"">2)</appnum></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0009~1;"<sco>
    <!--ID der Inschrift:  sections-269900-->
    <!--ID des Inschriftenteils:  sections-286359-->
    <!--ID der Bearbeitung (Version):  sections-302743-->
    <sec>
      <par>
        <lno>I(ESUS) N(AZARENUS) R(EX) I(UDAEORUM)<appnum id=""footnotes-appnum-dio-di102-0009-1"">1)</appnum></lno>
      </par>
    </sec>
  </sco>"
items/dio-inscriptions-raw/dio~di102-0010~1;"<sco>
    <!--ID der Inschrift:  sections-278658-->
    <!--ID des Inschriftenteils:  sections-295465-->
    <!--ID der Bearbeitung (Version):  sections-312020-->
    <sec>
      <par>
        <lno> [– – –] dictus ‎/ kurlan[d ...] a(ni)ma<appalpha id=""footnotes-appalpha-dio-di102-0010-a"">a)</appalpha> [– – –]</lno>
      </par>
    </sec>
  </sco>"
